Date	Close AAPL	Pret AAPL	Date	Close SMSM	Pret SMSM_dolar	Date	Pret Indice
28.06.2022	137440002	137.44	Dec 06, 2022	59200	44.99	Jun 22 2022	3759.89
29.06.2022	139229996	139.23	Dec 05, 2022	60300	45.83	Jun 23 2022	3795.73
30.06.2022	136720001	136.72	Dec 02, 2022	60400	45.9	Jun 24 2022	3911.74
01.07.2022	138929993	138.93	Dec 01, 2022	62600	47.58	Jun 27 2022	3900.11
05.07.2022	141559998	141.56	Nov 30, 2022	62200	47.27	Jun 28 2022	3821.55
06.07.2022	142919998	142.92	Nov 29, 2022	60600	46.06	Jun 29 2022	3818.83
07.07.2022	146350006	146.35	Nov 28, 2022	60100	45.68	Jun 30 2022	3785.38
08.07.2022	147039993	147.04	Nov 25, 2022	61000	46.36	Jul 01 2022	3825.33
11.07.2022	144869995	144.87	Nov 24, 2022	61400	46.66	Jul 05 2022	3831.39
12.07.2022	145860001	145.86	Nov 23, 2022	61000	46.36	Jul 06 2022	3845.08
13.07.2022	145490005	145.49	Nov 22, 2022	60600	46.06	Jul 07 2022	3902.62
14.07.2022	148470001	148.47	Nov 21, 2022	61400	46.66	Jul 08 2022	3899.38
15.07.2022	150169998	150.17	Nov 18, 2022	61800	46.97	Jul 11 2022	3854.43
18.07.2022	147070007	147.07	Nov 17, 2022	61400	46.66	Jul 12 2022	3818.8
19.07.2022	151000000	151	Nov 16, 2022	62700	47.65	Jul 13 2022	3801.78
20.07.2022	153039993	153.04	Nov 15, 2022	62400	47.42	Jul 14 2022	3790.38
21.07.2022	155350006	155.35	Nov 14, 2022	61900	47.04	Jul 15 2022	3863.16
22.07.2022	154089996	154.09	Nov 11, 2022	62900	47.8	Jul 18 2022	3830.85
25.07.2022	152949997	152.95	Nov 10, 2022	60400	45.9	Jul 19 2022	3936.69
26.07.2022	151600006	151.6	Nov 09, 2022	62000	47.12	Jul 20 2022	3959.9
27.07.2022	156789993	156.79	Nov 08, 2022	61800	46.97	Jul 21 2022	3998.95
28.07.2022	157350006	157.35	Nov 07, 2022	60200	45.75	Jul 22 2022	3961.63
29.07.2022	162509995	162.51	Nov 04, 2022	59400	45.14	Jul 25 2022	3966.84
01.08.2022	161509995	161.51	Nov 03, 2022	59200	44.99	Jul 26 2022	3921.05
02.08.2022	160009995	160.01	Nov 02, 2022	59600	45.3	Jul 27 2022	4023.61
03.08.2022	166130005	166.13	Nov 01, 2022	60000	45.6	Jul 28 2022	4072.43
04.08.2022	165809998	165.81	Oct 31, 2022	59400	45.14	Jul 29 2022	4130.29
05.08.2022	165350006	165.35	Oct 28, 2022	57300	43.55	Aug 01 2022	4118.63
08.08.2022	164869995	164.87	Oct 27, 2022	59500	45.22	Aug 02 2022	4091.19
